date, pm25, pm10, o3, no2, so2, co
2025/9/23, 29, 19, 18, 7, 2, 1
2025/9/24, 31, 23, 24, 9, 2, 2
2025/9/25, 39, 21, 32, 14, 2, 3
2025/9/26, 42, 29, 56, 13, 2, 4
2025/9/27, 68, 36, 83, 10, 2, 5
2025/9/28, 89, 19, 35, 8, 2, 6
2025/9/29, 61, 30, 32, 16, 2, 5
2025/9/30, 75, 34, 49, 11, 2, 5
2025/4/1, 91, 59, 66, 18, 4, 6
2025/4/2, 122, 40, 39, 18, 4, 6
2025/4/3, 107, 37, 60, 15, 4, 4
2025/4/4, 80, 57, 74, 15, 4, 6
2025/4/5, 126, 60, 62, 18, 3, 6
2025/4/6, 132, 51, 73, 18, 3, 5
2025/4/7, 116, 62, 76, 20, 4, 6
2025/4/8, 110, 70, 91, 23, 4, 7
2025/4/9, 141, 66, 53, 22, 3, 7
2025/4/10, 143, 58, 44, 19, 5, 6
2025/4/11, 124, 80, 36, 7, 3, 5
2025/4/12, 88, 87, 40, 9, 2, 4
2025/4/13, 75, 68, 46, 13, 3, 4
2025/4/14, 74, 50, 60, 27, 3, 4
2025/4/15, 71, 56, 79, 24, 3, 4
2025/4/16, 84, 63, 54, 21, 3, 4
2025/4/17, 99, 57, 76, 14, 3, 4
2025/4/18, 100, 55, 63, 11, 3, 5
2025/4/19, 93, 39, 50, 10, 3, 8
2025/4/20, 101, 39, 42, 11, 2, 5
2025/4/21, 93, 43, 42, 10, 2, 6
2025/4/22, 118, 54, 89, 17, 3, 7
2025/4/23, 123, 76, 78, 26, 3, 8
2025/4/24, 144, 46, 39, 12, 3, 4
2025/4/25, 52, 30, 43, 17, 3, 4
2025/4/26, 49, 31, 44, 16, 3, 4
2025/4/27, 60, 43, 50, 18, 3, 5
2025/4/28, 96, 37, 52, 20, 2, 4
2025/4/29, 78, 44, 75, 16, 3, 4
2025/4/30, 67, 50, 59, 9, 3, 5
2025/5/1, 83, 47, 78, 13, , 4
2025/5/2, 73, 44, 50, 4, 3, 5
2025/5/3, 74, 21, 43, 9, 3, 4
2025/5/4, 37, 32, 33, 12, 2, 7
2025/5/5, 71, 62, 65, 11, 3, 7
2025/5/6, 133, 58, 57, 10, 2, 5
2025/5/7, 81, 45, 41, 7, 2, 5
2025/5/8, 62, 19, 42, 8, 2, 6
2025/5/9, 44, 43, 51, 15, 3, 6
2025/5/10, 76, 33, 66, 12, 3, 5
2025/5/11, 71, 43, 77, 18, 3, 4
2025/5/12, 95, 38, 77, 11, 3, 4
2025/5/13, 74, 33, 87, 10, 3, 4
2025/5/14, 69, 44, 55, 25, 4, 5
2025/5/15, 83, 39, 29, 14, 2, 6
2025/5/16, 94, 42, 69, 18, 5, 8
2025/5/17, 118, 61, 41, 9, 3, 4
2025/5/18, 78, 35, 64, 13, 3, 5
2025/5/19, 87, 34, 24, 13, 2, 5
2025/5/20, 88, 26, 29, 15, 2, 6
2025/5/21, 77, 35, 55, 15, 3, 7
2025/5/22, 87, 9, 30, 5, 2, 4
2025/5/23, 25, 38, 56, 6, 3, 5
2025/5/24, 91, 37, 59, 18, 3, 5
2025/5/25, 92, 32, 55, 17, 3, 4
2025/5/26, 81, 25, 60, 8, 3, 4
2025/5/27, 66, 28, 48, 9, 3, 4
2025/5/28, 60, 31, 55, 10, 3, 4
2025/5/29, 75, 44, 91, 15, 3, 4
2025/5/30, 107, 41, 69, 10, 3, 4
2025/5/31, 97, 13, 49, 4, 2, 4
2025/6/1, 37, 12, 37, 6, 2, 4
2025/6/2, 41, 30, 81, 9, 3, 4
2025/6/3, 74, 48, 102, 14, 3, 5
2025/6/4, 126, 33, 86, 19, 3, 4
2025/6/5, 72, 37, 86, 11, 3, 4
2025/6/6, 66, 37, 25, 15, 3, 4
2025/6/7, 76, 16, 34, 10, 2, 3
2025/6/8, 48, 16, 26, 12, 2, 3
2025/6/9, 48, 18, 19, 14, 2, 3
2025/6/10, 52, 21, 29, 13, 2, 3
2025/6/11, 62, 11, 30, 10, 2, 3
2025/6/12, 42, 11, 13, 7, 2, 2
2025/6/13, 27, 26, 46, 12, 2, 3
2025/6/14, 74, 14, 20, 8, 2, 2
2025/6/15, 43, 22, 72, 7, 3, 2
2025/6/16, 49, 50, 106, 12, 3, 3
2025/6/17, 82, 44, 76, 14, 3, 3
2025/6/18, 76, 38, 41, 15, 3, 3
2025/6/19, 71, 22, 39, 10, 3, 2
2025/6/20, 54, 29, 39, 8, 2, 2
2025/6/21, 52, 15, 37, 8, 2, 3
2025/6/22, 35, 14, 32, 8, 2, 3
2025/6/23, 38, 24, 38, 6, 2, 4
2025/6/24, 61, 43, 85, 15, 2, 4
2025/6/25, 90, 47, 83, 10, 3, 4
2025/6/26, 101, 34, 53, 10, 3, 3
2025/6/27, 76, 36, 79, 11, 3, 3
2025/6/28, 79, 23, 59, 6, 3, 2
2025/6/29, 59, 18, 42, 5, 3, 1
2025/6/30, 37, 21, 42, 5, 3, 1
2025/1/1, 111, 40, 29, 26, 3, 4
2025/1/2, 69, 52, 33, 19, 3, 5
2025/1/3, 94, 40, 32, 25, 3, 5
2025/1/4, 69, 58, 26, 27, 3, 7
2025/1/5, 120, 81, 28, 24, 3, 7
2025/1/6, 147, 63, 17, 25, 3, 7
2025/1/7, 129, 70, 19, 32, 4, 9
2025/1/8, 145, 27, 24, 10, 3, 5
2025/1/9, 51, 39, 23, 18, 3, 7
2025/1/10, 61, 60, 15, 30, 5, 9
2025/1/11, 112, 75, 25, 31, 4, 7
2025/1/12, 134, 80, 33, 38, 4, 4
2025/1/13, 150, 81, 37, 36, 4, 5
2025/1/14, 159, 31, 23, 12, 3, 2
2025/1/15, 61, 58, 16, 29, 5, 4
2025/1/16, 93, 75, 20, 38, 5, 7
2025/1/17, 144, 62, 31, 31, 3, 5
2025/1/18, 132, 78, 36, 36, 4, 6
2025/1/19, 160, 111, 36, 48, 5, 10
2025/1/20, 185, 87, 37, 33, 4, 7
2025/1/21, 170, 31, 40, 15, 3, 3
2025/1/22, 75, 38, 29, 23, 2, 3
2025/1/23, 74, 33, 34, 15, 2, 3
2025/1/24, 75, 32, 33, 9, 4, 3
2025/1/25, 62, 44, 31, 9, 2, 5
2025/1/26, 79, 44, 31, 6, 3, 2
2025/1/27, 97, 39, 36, 8, 4, 2
2025/1/28, 78, 72, 37, 14, 5, 4
2025/1/29, 145, 42, 40, 9, 3, 2
2025/1/30, 86, 31, 29, 10, 2, 2
2025/1/31, 72, 19, 30, 6, , 3
2025/2/1, 55, 55, 30, 6, 2, 4
2025/2/2, 106, 60, 31, 7, 3, 6
2025/2/3, 135, 59, 34, 14, 3, 7
2025/2/4, 133, 49, 34, 17, 4, 7
2025/2/5, 118, 33, 29, 14, 3, 5
2025/2/6, 71, 48, 26, 15, 3, 5
2025/2/7, 81, 31, 26, 9, 3, 8
2025/2/8, 63, 43, 27, 21, 5, 7
2025/2/9, 90, 47, 32, 20, 4, 3
2025/2/10, 104, 22, 29, 12, 3, 2
2025/2/11, 62, 54, 31, 15, 3, 4
2025/2/12, 132, 38, 30, 15, 3, 3
2025/2/13, 96, 29, 23, 17, 3, 2
2025/2/14, 59, 48, 14, 25, 3, 4
2025/2/15, 113, 70, 40, 24, 3, 8
2025/2/16, 162, 47, 32, 13, 3, 6
2025/2/17, 100, 37, 34, 18, 3, 5
2025/2/18, 77, 42, 36, 17, 3, 4
2025/2/19, 87, 25, 31, 12, 3, 3
2025/2/20, 60, 29, 33, 13, 3, 4
2025/2/21, 61, 50, 42, 18, 3, 5
2025/2/22, 122, 44, 31, 13, 3, 5
2025/2/23, 116, 54, 40, 22, 3, 6
2025/2/24, 134, 65, 30, 25, 3, 6
2025/2/25, 140, 87, 36, 33, 4, 8
2025/2/26, 175, 80, 38, 26, 3, 8
2025/2/27, 176, 50, 34, 25, 3, 7
2025/2/28, 126, 33, 45, 19, 3, 5
2025/3/1, 92, 46, 55, 25, 3, 5
2025/3/2, 112, 18, 31, 10, 2, 5
2025/3/3, 57, 16, 25, 11, 2, 5
2025/3/4, 51, 14, 31, 8, 3, 4
